cod_dep,departamento,codigo,municipio,2019,2017,2015,2015
16,Alta Verapaz,1614,Chahal,"37,50","50,00","38,50","72,18"
16,Alta Verapaz,1613,Chisec,"72,50","81,25","0,00","6,67"
16,Alta Verapaz,1601,Cobán,"60,00","0,00","0,00","88,64"
16,Alta Verapaz,1615,Fray Bartolomé de las Casas,"91,25","57,14","64,81","87,67"
16,Alta Verapaz,1607,Panzós,"83,75","0,00","0,00","6,82"
16,Alta Verapaz,1617,Raxruhá,"68,42","25,00","19,38","69,42"
16,Alta Verapaz,1611,San Agustín Lanquín,"65,00","78,57","0,00","55,45"
16,Alta Verapaz,1608,Senahú,"78,75","0,00",,
16,Alta Verapaz,1603,San Cristóbal Verapaz,"61,25","0,00",,
16,Alta Verapaz,1610,San Juan Chamelco,"78,75","0,00","0,00","64,18"
16,Alta Verapaz,1606,San Miguel Tucurú,"47,50","57,14",,
16,Alta Verapaz,1609,San Pedro Carchá,"30,00","55,00","41,02","77,62"
16,Alta Verapaz,1616,Santa Catalina La Tinta,"34,21","33,33","0,00","45,83"
16,Alta Verapaz,1602,Santa Cruz Verapaz,"80,00","20,00","7,50","75,54"
16,Alta Verapaz,1612,Santa María Cahabón,"88,75","0,00",,
16,Alta Verapaz,1604,Tactic,"93,75","25,00","64,48","81,50"
16,Alta Verapaz,1605,Tamahú,"90,00","30,00",,
15,Baja Verapaz,1504,Cubulco,"86,36","0,00","0,00","88,52"
15,Baja Verapaz,1505,Granados,"85,71","0,00","0,00","78,07"
15,Baja Verapaz,1508,Purulhá,"72,73","0,00",,
15,Baja Verapaz,1503,Rabinal,"54,05","0,00",,
15,Baja Verapaz,1501,Salamá,"82,26","0,00",,
15,Baja Verapaz,1507,San Jerónimo,"74,19","64,29","0,00","72,70"
15,Baja Verapaz,1502,San Miguel Chicaj,"26,39","0,00","0,00","75,91"
15,Baja Verapaz,1506,Santa Cruz El Chol,"82,12","85,71","26,44","75,89"
4,Chimaltenango,411,Acatenango,"12,50","5,00","2,50","53,45"
4,Chimaltenango,401,Chimaltenango,"8,11","28,57",,
4,Chimaltenango,416,El Tejar,"25,00","0,00",,
4,Chimaltenango,414,Parramos,"21,21","5,00","0,00","69,73"
4,Chimaltenango,409,Patzicía,"38,16","25,00","0,00","16,98"
4,Chimaltenango,407,Patzún,"0,00","0,00",,
4,Chimaltenango,413,San Andrés Itzapa,"13,51","0,00","0,00","41,48"
4,Chimaltenango,402,San José Poaquil,"5,26","0,00",,
4,Chimaltenango,404,San Juan Comalapa,"0,00","0,00",,
4,Chimaltenango,403,San Martín Jilotepeque,"33,78","25,00","0,00","80,83"
4,Chimaltenango,408,San Miguel Pochuta,"0,00","0,00","0,00","79,88"
4,Chimaltenango,412,San Pedro Yepocapa,"14,47","0,00","0,00","28,78"
4,Chimaltenango,405,Santa Apolonia,"11,84","0,00",,
4,Chimaltenango,410,Santa Cruz Balanyá,"5,41","0,00",,
4,Chimaltenango,406,Tecpán Guatemala,"28,95","0,00",,
4,Chimaltenango,415,Zaragoza,"68,42","33,33","0,00","70,22"
20,Chiquimula,2005,Camotán,"6,25","0,00","0,00","73,86"
20,Chiquimula,2001,Chiquimula,"44,12","25,00","0,00","64,47"
20,Chiquimula,2008,Concepción las Minas,"51,32","0,00",,
20,Chiquimula,2007,Esquipulas,"60,53","59,52",,
20,Chiquimula,2011,Ipala,"38,16","68,75",,
20,Chiquimula,2004,Jocotán,"61,84","0,00",,
20,Chiquimula,2006,Olopa,"47,14","0,00","0,00","53,49"
20,Chiquimula,2009,Quezaltepeque,"71,05","43,75",,
20,Chiquimula,2010,San Jacinto,"23,68","0,00","20,27","50,00"
20,Chiquimula,2002,San José La Arada,"44,74","0,00","6,25","85,42"
20,Chiquimula,2003,San Juan Ermita,"82,00","25,00","0,00","79,48"
2,El Progreso,205,El Jícaro,"51,97","0,00",,
2,El Progreso,201,Guastatoya,"88,57","44,44",,
2,El Progreso,202,Morazán,"78,57","0,00",,
2,El Progreso,203,San Agustín Acasaguastlán,"8,11","0,00",,
2,El Progreso,208,San Antonio La Paz,"15,79","0,00",,
2,El Progreso,204,San Cristóbal Acasaguastlán,"38,57","0,00",,
2,El Progreso,207,Sanarate,"10,53","0,00",,
2,El Progreso,206,Sansare,"44,59","0,00",,
5,Escuintla,501,Escuintla,"47,37","45,00","11,25","57,24"
5,Escuintla,508,Guanagazapa,"0,00","0,00",,
5,Escuintla,510,Iztapa,"26,32","0,00",,
5,Escuintla,503,La Democracia,"2,63","0,00",,
5,Escuintla,507,La Gomera,"75,00","0,00",,
5,Escuintla,505,Masagua,"35,00","85,71",,
5,Escuintla,513,Nueva Concepción,"22,37","50,00",,
5,Escuintla,511,Palín,"0,00","0,00",,
5,Escuintla,509,San José,"17,11","0,00",,
5,Escuintla,512,San Vicente Pacaya,"0,00","0,00",,
5,Escuintla,502,Santa Lucía Cotzulmalguapa,"26,32","9,09",,
5,Escuintla,514,Sipacate,"65,38","64,29",,
5,Escuintla,504,Siquinalá,"0,00","10,00","6,25","84,21"
5,Escuintla,506,Tiquisate,"21,21","44,44","0,00","11,11"
1,Guatemala,114,Amatitlán,"33,33","61,11","10,00","11,11"
1,Guatemala,106,Chinautla,"33,33","44,44","10,00","6,70"
1,Guatemala,112,Chuarrancho,"31,25","35,00","0,00","71,31"
1,Guatemala,113,Fraijanes,"44,74","83,33","29,42","73,08"
1,Guatemala,101,Guatemala,"67,94","83,33","95,72","90,40"
1,Guatemala,108,Mixco,"58,33","35,71","8,13","25,61"
1,Guatemala,105,Palencia,"55,00","64,29","26,56","55,75"
1,Guatemala,104,San José del Golfo,"79,73","100,00","0,00","27,78"
1,Guatemala,103,San José Pinula,"63,24","85,71","7,50","79,70"
1,Guatemala,110,San Juan Sacatepéquez,"10,53","56,25","77,19","58,96"
1,Guatemala,117,San Miguel Petapa,"26,92","35,00","7,50","0,00"
1,Guatemala,107,San Pedro Ayampuc,"61,43","71,43","0,00","22,22"
1,Guatemala,109,San Pedro Sacatepéquez,"47,30","81,25","12,97","48,42"
1,Guatemala,111,San Raymundo,"89,39","35,71","0,00","53,26"
1,Guatemala,102,Santa Catarina Pinula,"63,89","75,00","87,34","86,11"
1,Guatemala,116,Villa Canales,"54,55","68,75","44,75","49,00"
1,Guatemala,115,Villa Nueva,"72,06","61,11","55,12","77,70"
13,Huehuetenango,1327,Aguacatán,"61,25","45,00","0,00","47,26"
13,Huehuetenango,1302,Chiantla,"17,50","0,00",,
13,Huehuetenango,1319,Colotenango,"0,00","0,00","0,00","84,74"
13,Huehuetenango,1322,Concepción Huista,"20,59","38,89","0,00","66,81"
13,Huehuetenango,1304,Cuilco,"87,88","0,00",,
13,Huehuetenango,1301,Huehuetenango,"52,56","30,00",,
13,Huehuetenango,1307,Jacaltenango,"47,06","38,89",,
13,Huehuetenango,1312,La Democracia,"63,79","44,44","2,50","68,63"
13,Huehuetenango,1311,La Libertad,"31,82","0,00","0,00","72,32"
13,Huehuetenango,1303,Malacatancito,"61,54","0,00",,
13,Huehuetenango,1305,Nentón,"23,53","15,00","0,00","60,83"
13,Huehuetenango,1333,Petatán,"43,55","15,00",,
13,Huehuetenango,1324,San Antonio Huista,"48,48","0,00","0,00","29,25"
13,Huehuetenango,1329,San Gaspar Ixchil,"67,19","0,00",,
13,Huehuetenango,1309,San Idelfonso Ixtahuacán,"53,13","45,00",,
13,Huehuetenango,1316,San Juan Atitán,"21,79","38,89","0,00","78,48"
13,Huehuetenango,1323,San Juan Ixcoy,"0,00","0,00",,
13,Huehuetenango,1318,San Mateo Ixtatán,"0,00","0,00",,
13,Huehuetenango,1313,San Miguel Acatán,"48,48","20,00","0,00","30,31"
13,Huehuetenango,1306,San Pedro Necta,"19,23","0,00",,
13,Huehuetenango,1308,San Pedro Soloma,"11,11","0,00",,
13,Huehuetenango,1314,San Rafael La Independencia,"20,97","10,00","0,00","30,68"
13,Huehuetenango,1328,San Rafael Pétzal,"22,22","20,00","0,00","11,31"
13,Huehuetenango,1325,San Sebastián Coatán,"12,12","45,00","0,00","24,54"
13,Huehuetenango,1320,San Sebastián Huehuetenango,"14,29","25,00","0,00","52,03"
13,Huehuetenango,1331,Santa Ana Huista,"17,11","0,00","0,00","84,09"
13,Huehuetenango,1310,Santa Bárbara,"68,18","10,00",,
13,Huehuetenango,1326,Barillas,"0,00","0,00","0,00","55,37"
13,Huehuetenango,1317,Santa Eulalia,"5,26","0,00",,
13,Huehuetenango,1330,Santiago Chimaltenango,"40,91","0,00","0,00","68,47"
13,Huehuetenango,1321,Tectitán,"16,25","10,00","0,00","65,18"
13,Huehuetenango,1315,Todos Santos Cuchumatán,"39,66","0,00",,
13,Huehuetenango,1332,Unión Cantinil,"27,59","27,78","0,00","60,28"
18,Izabal,1803,El Estor,"62,16","51,85",,
18,Izabal,1802,Livingston,"62,50","0,00",,
18,Izabal,1805,Los Amates,"86,76","40,00","0,00","76,11"
18,Izabal,1804,Morales,"13,75","0,00",,
18,Izabal,1801,Puerto Barrios,"65,63","0,00","27,85","11,11"
21,Jalapa,2101,Jalapa,"23,68","0,00",,
21,Jalapa,2107,Mataquescuintla,"89,47","0,00","0,00","41,60"
21,Jalapa,2106,Monjas,"68,75","40,00","0,00","20,45"
21,Jalapa,2105,San Carlos Alzatate,"40,54","0,00",,
21,Jalapa,2103,San Luis Jilotepeque,"18,42","35,00","0,00","73,26"
21,Jalapa,2104,San Manuel Chaparrón,"71,05","0,00","0,00","20,83"
21,Jalapa,2102,San Pedro Pinula,"12,16","0,00","0,00","0,00"
22,Jutiapa,2204,Agua Blanca,"90,54","75,00","13,75","83,33"
22,Jutiapa,2205,Asunción Mita,"76,25","18,75","8,75","88,08"
22,Jutiapa,2207,Atescatempa,"67,57","57,14","9,11","76,19"
